loanId:ID(Loan),total_bal_il,funded_amnt
1,,15000
2,,10400
3,,21425
4,,12800
5,,7650
6,,9600
7,,2500
8,,16000
9,,23325
10,,5250
11,,10000
12,,12975
13,,17000
14,,21075
15,,6000
16,,2000
17,,3000
20,,13550
21,,7200
22,,14000
23,,1000
25,,18000
27,,10800
28,,18450
29,,28000
30,,4000
32,,5000
34,,3625
36,,11175
37,,21000
38,,8000
39,,17600
41,,11000
42,,5675
43,,6825
45,,1500
46,,20000
53,,4200
55,,2400
58,,24000
59,,12000
61,,20975
62,,4500
63,,32800
65,,10975
67,,8750
68,,9000
72,,27525
75,,4600
77,,6400
81,,2800
82,,13375
84,,13000
85,,35000
88,,7500
89,,5500
90,,19200
94,,15600
96,,22200
97,,10375
102,,19000
109,,5600
111,,12600
114,,4800
115,,22500
116,,16950
117,,16375
122,,6700
125,,18700
126,,26000
127,,7000
130,,6850
131,,1200
132,,13400
135,,14575
137,,16400
139,,27200
140,,22400
141,,22000
143,,2850
146,,15850
147,,6150
148,,25000
152,,17500
153,,10200
156,,6500
158,,26400
160,,14400
162,,11200
163,,30000
167,,13825
170,,19350
181,,11325
182,,19500
183,,16475
185,,18500
186,,19150
188,,33950
189,,11775
191,,8250
196,,23475
200,,3375
206,,11850
207,,3525
209,,8500
210,,8325
211,,9500
221,,3750
226,,13500
227,,3075
229,,7175
230,,27975
242,,23000
244,,31000
251,,13425
254,,26150
257,,23925
262,,13225
263,,27000
270,,34000
272,,13475
274,,2600
276,,11500
278,,7675
288,,3500
290,,16150
294,,11675
297,,2650
311,,19425
319,,15400
323,,6725
329,,5700
356,,10500
370,,11875
376,,24500
380,,30225
386,,20400
388,,20725
395,,6600
396,,7150
397,,1375
398,,9650
400,,10300
407,,9725
419,,6075
423,,8700
426,,15525
428,,11075
439,,22800
440,,7475
446,,15900
452,,33000
456,,9225
468,,11750
479,,9800
489,,7400
502,,16800
503,,19800
504,,23800
505,,21600
510,,10225
528,,27650
546,,3600
556,,7050
559,,14700
562,,29975
564,,5875
565,,32000
567,,8475
568,,31200
577,,29000
612,,25325
619,,9975
626,,18300
631,,15700
633,,6450
640,,3800
641,,29675
642,,12950
644,,12375
645,,18625
648,,30275
652,,18750
681,,8400
683,,5400
691,,4700
697,,16575
700,,11450
